id,author,title,gender,isbn,release_date,origin,description
215,"Girl with the Dragon Tattoo,The:Millennium Trilogy","Larsson, Stieg",M,0,0,International,to come
216,"Girl Who Played with Fire,The:Millennium Trilogy","Larsson, Stieg",M,0,0,International,to come
217,"Girl Who Kicked the Hornets' Nest,The:Millennium Trilogy","Larsson, Stieg",M,0,0,International,to come
218,"No.1 Ladies' Detective Agency,The:No.1 Ladies' Detective Agency S.","McCall Smith, Alexander",M,0,0,International,to come
219,"Lovely Bones,The","Sebold, Alice",F,0,0,International,to come
220,"Curious Incident of the Dog in the Night-time,The","Haddon, Mark",M,0,0,International,to come
221,"Kite Runner,The","Hosseini, Khaled",M,0,0,International,to come
222,One Day,"Nicholls, David",M,0,0,International,to come
223,"Thousand Splendid Suns,A","Hosseini, Khaled",M,0,0,International,to come
224,"Time Traveler's Wife,The","Niffenegger, Audrey",F,0,0,International,to come
225,Atonement,"McEwan, Ian",M,0,0,International,to come
226,Bridget Jones's Diary:A Novel,"Fielding, Helen",F,0,0,International,to come
227,Captain Corelli's Mandolin,"Bernieres, Louis de",M,0,0,International,to come
228,Birdsong,"Faulks, Sebastian",M,0,0,International,to come
229,Labyrinth,"Mosse, Kate",F,0,0,International,to come
230,"Help,The","Stockett, Kathryn",F,0,0,International,to come
231,Man and Boy,"Parsons, Tony",M,0,0,International,to come
232,Memoirs of a Geisha,"Golden, Arthur",M,0,0,International,to come
233,"Island,The","Hislop, Victoria",F,0,0,International,to come
234,"PS, I Love You","Ahern, Cecelia",F,0,0,International,to come
235,"Shadow of the Wind,The","Zafon, Carlos Ruiz",M,0,0,International,to come
236,Chocolat,"Harris, Joanne",F,0,0,International,to come
237,My Sister's Keeper,"Picoult, Jodi",F,0,0,International,to come
238,To Kill a Mockingbird,"Lee, Harper",F,0,0,International,to come
239,"Short History of Tractors in Ukrainian,A","Lewycka, Marina",F,0,0,International,to come
240,"Alchemist,The:A Fable About Following Your Dream","Coelho, Paulo",M,0,0,International,to come
241,Bridget Jones: The Edge of Reason,"Fielding, Helen",F,0,0,International,to come
242,Small Island,"Levy, Andrea",F,0,0,International,to come
243,Brick Lane,"Ali, Monica",F,0,0,International,to come
244,"Memory Keeper's Daughter,The","Edwards, Kim",F,0,0,International,to come
245,About a Boy,"Hornby, Nick",M,0,0,International,to come
246,White Teeth,"Smith, Zadie",F,0,0,International,to come
247,"House at Riverton,The","Morton, Kate",F,0,0,International,to come
248,"Book Thief,The","Zusak, Markus",M,0,0,International,to come
249,Nights of Rain and Stars,"Binchy, Maeve",F,0,0,International,to come
250,"Ghost,The","Harris, Robert",M,0,0,International,to come
251,Fifty Shades of Grey,"James, E. L.",F,0,0,International,to come
252,Fifty Shades Darker,"James, E. L.",F,0,0,International,to come
253,Fifty Shades Freed,"James, E. L.",F,0,0,International,to come
254,Harry Potter and the Half-blood Prince,"Rowling, J.K.",F,0,0,International,to come
255,"Lord of the Rings,The","Tolkien, J. R. R.",M,0,0,International,to come
256,Notes from a Small Island,"Bryson, Bill",M,0,0,International,to come
257,Down Under,"Bryson, Bill",M,0,0,International,to come
258,Twilight,"Meyer, Stephenie",F,0,0,International,to come
259,New Moon,"Meyer, Stephenie",F,0,0,International,to come
260,Eclipse,"Meyer, Stephenie",F,0,0,International,to come
261,Breaking Dawn,"Meyer, Stephenie",F,0,0,International,to come
262,Northern Lights:His Dark Materials,"Pullman, Philip",F,0,0,International,to come
263,"Subtle Knife,The:His Dark Materials","Pullman, Philip",M,0,0,International,to come
264,"Boy in the Striped Pyjamas,The","Boyne, John",M,0,0,International,to come
265,The Amber Spyglass:His Dark Materials,"Pullman, Philip",M,0,0,International,to come
266,The Hunger Games,"Collins, Suzanne",F,0,0,International,to come
267,Ralph Ellison,Invisible Man,M,9780679732761,1952,International,"We rely, in this world, on the visual aspects of humanity as a means of learning who we are. This, Ralph Ellison argues convincingly, is a dangerous habit. A classic from the moment it first appeared in 1952, Invisible Man chronicles the travels of its narrator, a young, nameless black man, as he moves through the hellish levels of American intolerance and cultural blindness. Searching for a context in which to know himself, he exists in a very peculiar state. ""I am an invisible man,"" he says in his prologue. ""When they approach me they see only my surroundings, themselves, or figments of their imagination--indeed, everything and anything except me."" But this is hard-won self-knowledge, earned over the course of many years. As the book gets started, the narrator is expelled from his Southern Negro college for inadvertently showing a white trustee the reality of black life in the south, including an incestuous farmer and a rural whorehouse. The college director chastises him: ""Why, the dumbest black bastard in the cotton patch knows that the only way to please a white man is to tell him a lie! What kind of an education are you getting around here?"" Mystified, the narrator moves north to New York City, where the truth, at least as he perceives it, is dealt another blow when he learns that his former headmaster's recommendation letters are, in fact, letters of condemnation. What ensues is a search for what truth actually is, which proves to be supremely elusive. The narrator becomes a spokesman for a mixed-race band of social activists called ""The Brotherhood"" and believes he is fighting for equality. Once again, he realizes he's been duped into believing what he thought was the truth, when in fact it is only another variation. Of the Brothers, he eventually discerns: ""They were blind, bat blind, moving only by the echoed sounds of their voices. And because they were blind they would destroy themselves.... Here I thought they accepted me because they felt that color made no difference, when in reality it made no difference because they didn't see either color or men."" Invisible Man is certainly a book about race in America, and sadly enough, few of the problems it chronicles have disappeared even now. But Ellison's first novel transcends such a narrow definition. It's also a book about the human race stumbling down the path to identity, challenged and successful to varying degrees. None of us can ever be sure of the truth beyond ourselves, and possibly not even there. The world is a tricky place, and no one knows this better than the invisible man, who leaves us with these chilling, provocative words: ""And it is this which frightens me: Who knows but that, on the lower frequencies, I speak for you?"" "
